Pathway Name	Organism	Gene Ontology	Url to WikiPathways	Last Changed	Last Revision	Author	Count	Entrez	Ensembl	SwissProt	UniGene	RefSeq	MOD	PubChem	CAS	ChEBI
Cytokines and Inflammatory Response (BioCarta)	Mus musculus		http://www.wikipathways.org/index.php/Pathway:WP222	20081114113051	21145	S.Burel, MaintBot	25	21926,16176,16175,16193,21803,18590,12977,12981,12985,12504,16153,15977,16187,16189,16163,15978,16183,16168,16191,16156,14825,16160,IL12B,16196,111654								
CAR-RET metabolism (BiGCaT)	Mus musculus		http://www.wikipathways.org/index.php/Pathway:WP223	20081114113051	21147	Susan, MaintBot, AlexanderPico, Evelo, Andra, Bowen	41			Q64FW2,Q9JHW9,O55127		NP_067461,NP 076113,NP 031435,NP 031436,NP 036126,NP 059501,NP 598767,NP 035433,NP 035384,NP 033060,NP 071303,NP 035385,NP 038524,NP 031785,NP_573480,NP 038495,NP 033048,NP 848828,NP 033066,NP 067532,NP 033050,NP 035373,NP 035374,NP 035435,NP 035436,NP 033133,NP 780684,NP 067257,NP 964007,NP 598431,NP 059493,NP 058021,NP 031669,NP 032535,NP 114090,NP 080456,NP 997125				
Aerobic Glycerol Catabolism	Saccharomyces cerevisiae		http://www.wikipathways.org/index.php/Pathway:WP224	20081114113051	21149	M.Braymer, MaintBot	25						S000001024,S000001417,S000005420,S000002180,S000002457,S000003588,S000003769,S000003424,S000000605,S000003486,S000001217,S000005874,S000000036,S000005920,S000006202,S000004942,S000001635		56-81-5,1927-31-7,58-64-0,146-14-5,1910-41-4,53-84-9,591-57-1,138-08-9	
Osteoblast	Rattus norvegicus		http://www.wikipathways.org/index.php/Pathway:WP227	20081114113052	21155	Ehsiao, AlexanderPico, Khanspers, MaintBot	10	170583,25341,117516,25267/24629,25295,56813,24694,29393,25548								
Deoxyribose phosphate metabolism	Saccharomyces cerevisiae		http://www.wikipathways.org/index.php/Pathway:WP228	20081114113052	21157	J.Heckman, MaintBot	17						S000004235,S000006278,S000000321		951-77-9,951-78-0,14265-44-2,66-22-8,50-89-5,65-71-4,17210-42-3,75-07-0,591-57-1,65-46-3,58-96-8,3615-55-2,2646-35-7,60802-29-1	
Irinotecan Pathway	Homo sapiens		http://www.wikipathways.org/index.php/Pathway:WP229	20081210182718	26589	169.230.76.4, MaintBot, Thomas, AlexanderPico	14	8824,1066,1576,1577,54658,54600,4363,1244,9429,54578,54575,590						3750		
B Cell Receptor Signaling Pathway	Homo sapiens		http://www.wikipathways.org/index.php/Pathway:WP23	20081114112947	20725	A.Pandey, MaintBot	159	974,640,2534,4067,6850,29760,11184,921,5747,5777,3059,7454,10097,10096,10095,10109,10094,10093,10092,2885,6654,4690,7409,5335,1380,930,975,5336,5295,5296,118788,5594,2002,695,867,6464,3932,9564,4739,2185,3055,1399,55024,3709,29990,5781,933,842,840,868,6452,7410,5587,3702,7006,1398,2889,3937,26228,1796,26469,8394,5305,8395,8396,23396,79837,6195,5595,5921,5580,1385,7462,5170,207,2931,5911,2308,3635,79930,5599,2213,6198,6194,9846,3725,1386,1432,604,9261,1017,5925,1019,1021,1499,2932,3551,1147,4792,5970,5966,5579,971,493,4773,4775,5530,5532,10603,2969,59338,59339,27071,54923,1445,84433,8915,6885,8517,894,896,898,890,3190,5788,5534,4772,5588,1022,973,10014,51564,54205,5894,5604,5605,1846,1848,6774,6772,7535,10018,5596,84174,51363,123920,596,3507,25780,673,5164,581,2549,5581,3708,387,5294,6655								
TGF Beta Signaling Pathway	Drosophila melanogaster		http://www.wikipathways.org/index.php/Pathway:WP230	20081114113053	21161	N.Gal, MaintBot	15	35900,37214,2768836,44263,33529,31738,43725,42059,34009,31151,33051,36609,43856,34085,								
TNF-alpha/NF-kB Signaling Pathway	Homo sapiens		http://www.wikipathways.org/index.php/Pathway:WP231	20090319110011	28972	A.Pandey, MaintBot, Burak, AlexanderPico, Evelo	188	7189,2316,5702,5966,4790,1540,8517,29110,9775,9861,10293,26133,54476,943,9994,3315,7133,7132,7124,5590,5970,5566,5515,7323,8290,7322,840,10746,825,997,4792,7186,8717,5713,5709,5718,4791,5719,92610,5707,6156,5971,6599,11140,6128,6597,3065,3066,3784,3839,5693,11124,5700,6772,8772,5701,10914,602,5371,10788,1654,2734,8237,803,2932,6598,7185,6605,8533,10013,6601,222643,5585,3838,23633,257397,10401,5178,857,2969,200081,4215,7532,2549,5202,7529,7531,7533,10971,7534,7128,10318,79155,208,1147,207,6714,64320,23291,1457,1459,1460,8737,843,841,7187,329,330,5747,8837,836,8454,6500,8945,9908,10849,4793,10128,4163,4528,28512,28511,5134,25885,84172,51082,5437,5441,3551,57805,9462,64425,9533,4794,150684,4174,4176,7341,8518,3326,7763,1387,2289,3320,5781,9020,2091,6124,3895,6132,6205,6207,7188,64343,9641,10010,4214,10238,7329,1326,5607,2011,9252,64332,9099,8439,10399,147945,8738,835,8792,10270,86,10848,5977,11035,8767,5037,7182,10454,23118,249,1611,2177,9530,6198,9618								
G Protein Signaling Pathways	Mus musculus		http://www.wikipathways.org/index.php/Pathway:WP232	20081114113055	21165	Nsalomonis, MaintBot, BruceConklin, C.Redfern	87	14681,14687,14677,14678,14679,14672,14675,14676,14673,14674,16801,20544,16438,15461,18176,16653,11848,11512,11513,11514,19087,19088,18747,11515,19084,216530,104111,,14683,14680,104110,224129,18574,18575,238871,18583,29863,18584,14682,19085,210044,12313,18750,18751,18752,18753,18759,18755,18760,18761,18762,18797,19055,19056,19057,14688,14693,14695,14696,14697,14699,14702,14704,14706,14707,14708,14709,18573,16519,18754,20130,18749,66066,14701,64337,11640,11641,11642,11643,268287,56399,100986,56697,83397,54611,18578,23984								
Pentose Phosphate Pathway	Saccharomyces cerevisiae		http://www.wikipathways.org/index.php/Pathway:WP233	20081114113056	21167	M.Braymer, MaintBot	18						S000001226,S000003488,S000003657,S000005621,S000006278,S000000321,S000004346,S000003275,S000005185		4151-19-3,60802-29-1,3615-55-2,2646-35-7,591-57-1,643-13-0,585-18-2,59-56-3,2646-71-1	
Peptide GPCRs	Mus musculus		http://www.wikipathways.org/index.php/Pathway:WP234	20081114113056	21169	Nsalomonis, MaintBot	70	18217,18387,11607,11608,11609,12062,12061,18101,14829,12209,12768,12772,12771,12773,12774,12775,12776,12769,12777,12770,80901,12145,12767,12766,12267,12273,13051,12765,14293,14294,12425,12426,13617,13618,14427,14428,14429,14309,16867,22095,17200,17199,17201,17202,17203,18166,18167,19065,18168,18169,18216,18386,18390,18389,14715,22045,208188,21336,21337,21338,20605,20606,20607,20608,20609,26361,12000,18430,12458,54140								
Wnt Signaling	Caenorhabditis elegans		http://www.wikipathways.org/index.php/Pathway:WP235	20090602231328	29818	MartijnVanIersel, MaintBot, Khanspers	18						mom-3,W08D2.1,Y71F9B.5,T05C12.6,C37A5.9,sgg-1,K04G2.8,C54D1.6,W10C8.2,C08C3.3,T07H6.2,F38E1.7,T23D8.1,B0336.1,W02D3.9,F58E10.2,F52F12.3,W06F12.1			
Adipogenesis	Homo sapiens		http://www.wikipathways.org/index.php/Pathway:WP236	20090127194738	28133	M.Patti, MaintBot, Khanspers	131	3479,5740,5467,1385,83881,2688,3399,7480,6776,6777,8788,2908,1649,3976,1051,1592,56603,6256,5914,10062,4023,6720,355,5933,2625,2624,5468,4205,4207,4208,4209,434,7124,4282,7040,5054,6517,6319,7291,3952,56729,1675,2971,5925,5934,9370,123,183,1026,1869,6667,3159,5346,3569,1647,4616,1052,649,650,651,652,4692,2308,688,2303,10891,8648,10499,5465,6774,6773,6772,6778,8651,9021,1271,3977,3572,4154,5008,1499,7350,81029,7471,4088,8321,1855,6927,6258,2487,3630,10135,6695,57761,2626,7025,8204,6095,5618,80339,10658,3091,1316,8609,6424,9611,9612,28999,1959,1879,2034,196,55847,25937,2662,3667,8471,26580,4000,10555,10269,23175,9663,3991,5105,5106,1050,8660,3668,64900,1874								
Glucocorticoid & Mineralcorticoid Metabolism	Homo sapiens		http://www.wikipathways.org/index.php/Pathway:WP237	20081114113057	21175	M.Lieberman, MaintBot, Khanspers	25	3290,1585,1589,1586,3283,3284,1583,3291		3O5B HUMAN,					57-88-5,57-83-0,145-13-1,64-85-7,50-23-7,52-39-1,516-42-7,50-22-6,80-92-2	
Osteoblast	Mus musculus		http://www.wikipathways.org/index.php/Pathway:WP238	20081114113058	21177	Ehsiao, AlexanderPico, Khanspers, MaintBot	11	64654,18383,21943,18595/18596,12097,12907,19228,19226,12842,218103								
Trehalose Biosynthesis	Saccharomyces cerevisiae		http://www.wikipathways.org/index.php/Pathway:WP239	20081114113058	21179	M.Braymer, MaintBot	7						S000000330,S000004874,S000004566,S000002481		59-56-3,14265-44-2,99-20-7	
Peptide GPCRs	Homo sapiens		http://www.wikipathways.org/index.php/Pathway:WP24	20081114112947	20727	Nsalomonis, MaintBot, AlexanderPico	74	185,10396,186,624,623,4829,2925,680,1230,1231,1232,1233,1234,1235,1236,1237,CCR9,2826,10663,2833,7852,643,2532,1524,2492,3973,7253,2587,8811,8484,1909,1910,886,887,2357,2358,2359,719,3577,3579,4157,4159,4160,4161,4886,4887,4889,4923,23620,4985,4986,4988,4987,2798,7201,2693,6869,6865,6870,255061,6751,6752,6753,6754,6755,552,553,554,5021,728,4158,5540,4888							50-56-6	
Alanine and aspartate metabolism	Mus musculus		http://www.wikipathways.org/index.php/Pathway:WP240	20081114113058	21181	L.M.Ferrante, MaintBot	40	18563,268860,14417,226414,76282,11611,11898,109900,14719,11484,14415,14718								
One Carbon Metabolism	Homo sapiens		http://www.wikipathways.org/index.php/Pathway:WP241	20081114113058	21183	Michiel, Frank, Thomas, MaintBot, Txr24, Egoyenechea	39	2346,6470,10840,6948,4524,635,1786,4548,4552,4522,2618,471,1719,25902,123263,1788,1789,10797,10841,10588,191,23382,27430,4143,275,6472,7298							25513-46-6,59-30-3,135-16-0,4033-27-6,134-35-0,2800-34-2,7444-29-3,63-68-3,107-43-7,29908-03-0,979-92-0,6027-13-0	
Alpha6-Beta4 Integrin Signaling Pathway	Homo sapiens		http://www.wikipathways.org/index.php/Pathway:WP244	20081114113102	21193	A.Pandey, 169.230.76.4, MaintBot	67	387,6242,3691,2534,1179,5747,3655,3921,7431,9635,2885,667,55914,2064,5295,5296,8503,5290,5291,5294,5293,1308,6464,4486,2810,284217,3912,3915,3911,3913,3908,3909,3914,3918,5058,5879,5339,977,8660,3667,1956,367,7161,25,7529,7531,7533,10971,7534,7525,1832,4233,1978,1977,3692,9423,207,836,572,5578,2475,5580,4316,6714,4087,4088,1026								
Toll-like receptor signaling pathway	Homo sapiens		http://www.wikipathways.org/index.php/Pathway:WP245	20081210191929	26599	Jmboer, MaintBot, Thomas, AlexanderPico	102	3456,1147,7189,3654,51135,4615,4790,4791,5970,5594,5595,5604,5605,1326,6696,7187,8737,3665,3663,6373,4283,3627,3439,3440,3441,3442,3443,3444,3445,3446,3447,3448,3449,3451,3452,942,958,2353,3725,3551,6885,6351,51284,51311,1432,5600,5603,6300,3576,6348,3592,3593,114609,5879,3454,3455,5599,5601,5602,3553,29110,9641,23533,5290,5291,5293,5294,5295,5296,8503,8772,3569,6352,10454,10000,207,208,23118,6772,5609,6416,4792,5606,5608,7124,3661,941,7097,23643,7100,7098,7096,10333,3929,54106,7099,353376,54472,148022,929,8517,841								
TNF-alpha/NF-kB Signaling Pathway	Mus musculus		http://www.wikipathways.org/index.php/Pathway:WP246	20081114113103	21197	A.Pandey, MaintBot	177	22034,,19182,19696,18033,74256,16151,56480,192170,66413,22036,56407,108086,21941,26885,15507,21938,21937,21926,18762,19697,18747,19052,66105,382523,56550,12369,26405,12335,216150,18035,22030,71609,17463,22123,66997,18034,23997,211550,70247,19698,20588,12539,20586,433759,15182,16535,16648,19173,14084,19179,20846,14082,19181,18789,12051,18854,13205,20340,236733,56637,20587,22029,57376,26572,15185,68094,76589,320795,16650,66724,229615,18616,12389,14886,109658,26406,22628,14388,18637,54401,22627,22629,22630,22631,21929,57783,231130,11652,12675,11651,20779,57751,103583,12995,13000,13001,19766,12370,22031,11797,11796,14083,12633,12367,26965,21402,12234,23881,70333,18036,72416,76784,69721,71966,18567,20019,20017,20018,245841,66491,16150,219158,64424,20016,18037,17846,17218,17220,22218,230233,15516,22682,12914,14229,15519,19247,53859,14113,67891,16709,26961,27207,622602,27215,56489,21353,71833,22196,26410,23938,13728,73086,80859,53376,18201,14694,446099,12905,12366,21934,56399,56456,333654,19708,56532,192656,23980,22026,66513,68652,11647,223453,211651,67384,22032								
Small Ligand GPCRs	Homo sapiens		http://www.wikipathways.org/index.php/Pathway:WP247	20081114113103	21199	Nsalomonis, MaintBot, AlexanderPico	19	1268,1269,1901,1902,1903,9294,8698,4543,5724,5729,5731,5732,5733,5734,5737,5739,6915,4544								
Translation Factors	Danio rerio		http://www.wikipathways.org/index.php/Pathway:WP248	20081114113103	21201	Kdahlquist, MaintBot	29	415150,405839,394049,541548,,406263,393974,325102,336498,334234,386634,336619,402996,322237,445110,386945,436644,195822,326929,266989,393856,324365,327341,450062,327515,322256,437013,386850,394189								
Beta Oxidation of Unsaturated Fatty Acids	Drosophila melanogaster		http://www.wikipathways.org/index.php/Pathway:WP249	20081114113103	21203	Evelo, MaintBot	5	,34276,37784,34315,38864								
Fatty Acid Beta Oxidation 3	Drosophila melanogaster		http://www.wikipathways.org/index.php/Pathway:WP25	20081114112947	20729	Nsalomonis, MaintBot, Evelo, C.Redfern	8	 ,42364,36536,39988,33911,34276,37784,31695								
Isoleucine Biosynthesis	Saccharomyces cerevisiae		http://www.wikipathways.org/index.php/Pathway:WP250	20081114113104	21205	M.Braymer, MaintBot	10						S000000888,S000004714,S000000515,S000004347,S000003777,S000003909,S000001251		72-19-5,2646-71-1,56-86-0	
MAPK Cascade	Mus musculus		http://www.wikipathways.org/index.php/Pathway:WP251	20081114113104	21207	Nsalomonis, MaintBot, I.Reyes	30	15461,16653,18176,20130,18797,26401,26405,26406,26395,26396,26417,26413,16476,26397,26398,109880,26399,17196,17756,13712,20469,26416,26400,110157,11836,19414,26414,26404,29857								
Androgen Receptor Signaling Pathway	Mus musculus		http://www.wikipathways.org/index.php/Pathway:WP252	20081114113104	21209	A.Pandey, MaintBot	108	11835,,56424,12539,12531,110157,26395,107951,12387,12389,12914,433759,225115,12572,66671,14884,67655,98053,68705,17978,17977,19183,22026,17979,14200,14797,12017,12189,12447,12443,16476,12317,12859,12393,11739,11909,232286,21804,56736,19384,81000,17344,22294,13649,22215,13982,18813,104156,83995,622339,14815,20779,26413,16195,217127,18193,18986,18987,11651,17246,170758,19645,19697,56705,268903,19822,56218,19303,30051,15469,108767,59004,56469,229615,20848,17127,17128,23957,20683,20602,21815,22196,20466,68098,15259,214230,18519,72993,81601,328572,223870,12534,16193,19211,13983,11614,16000,14600,22059,12362,12367,12369,12370,97165,15289,22629,26423								
Glycolysis	Saccharomyces cerevisiae		http://www.wikipathways.org/index.php/Pathway:WP253	20081114113105	21211	J.Heckman, MaintBot	27						S000000400,S000004818,S000003472,S000001543,S000002457,S000003588,S000003769,S000003424,S000000605,S000005417,S000001635,S000006202,S000005920,S000004942,S000001217,S000003486,S000005874,S000000036		59-56-3,643-13-0,1927-31-7,58-64-0,591-57-1,14265-44-2,53-84-9,38168-82-0,138-08-9	
Apoptosis	Homo sapiens		http://www.wikipathways.org/index.php/Pathway:WP254	20090615190931	29955	A.C.Zambon, MaintBot, AlexanderPico, Thomas, Susan, Angelika, B.Lawlor, MartijnVanIersel, Gillespm	83	8717,8743,7132,7124,7133,7185,7186,4214,6416,5602,8772,8737,330,329,331,839,840,836,835,596,8517,355,598,3002,5551,356,578,637,581,4609,7157,4193,5970,4790,317,842,4792,3725,10018,8739,665,843,1677,1676,3070,572,834,837,,841,7187,8718,4049,8795,27242,3551,1147,4793,4794,332,3659,3660,3661,3662,3663,3664,3665,8738,8837,1029,5366,27113,666,56616,4170,599,3479,3481,3480,5295,207,54205,7161								
Blood Clotting Cascade	Rattus norvegicus		http://www.wikipathways.org/index.php/Pathway:WP255	20081114113105	21215	A.Kwa, MaintBot, M.Ramirez	18	302470,24617,60325,25692,85253,25619,29251,84586,304929,116669,24946,29243,260320,361969,60327,,290757								
Cysteine Biosynthesis from Homoserine	Saccharomyces cerevisiae		http://www.wikipathways.org/index.php/Pathway:WP256	20081114113105	21217	M.Braymer, MaintBot	12						S000005221,S000004294,S000003387,S000000010		672-15-1,72-89-9,64885-97-8,64-19-7,6027-13-0,56-88-2,56-45-1,52-90-4	
Starch and Cellulose Biosynthesis	Saccharomyces cerevisiae		http://www.wikipathways.org/index.php/Pathway:WP257	20081114113106	21219	M.Braymer, MaintBot	13						S000000737,S000004711,S000001610,S000001518,S000001004		69-79-4,58-64-0,2466-09-3,1927-31-7,59-56-3,2564-35-4,146-91-8,53-84-9	
TGF-beta Receptor Signaling Pathway	Mus musculus		http://www.wikipathways.org/index.php/Pathway:WP258	20090127215104	28139	A.Pandey, MaintBot, Khanspers	149	21803,21812,21813,17126,13132,17131,75788,21814,21808,216869,21809,17127,20901,17130,20692,15529,12505,71770,17128,230597,13163,14225,14272,59079,67903,,12387,13805,12389,54709,12005,72183,22337,19087,19085,21417,21815,227720,18709,93742,15239,16842,433759,17260,17258,12393,17869,20683,218210,18046,76793,24136,14106,18519,328572,217232,20482,13982,56438,26965,13542,56484,22059,22062,386655,76630,56458,11909,12705,16478,14281,19650,68999,17222,52206,69957,52563,99152,59008,56317,13559,15378,104394,16476,20481,11835,13018,11910,23871,12006,54601,16477,14282,68015,71728,20869,22218,15405,75901,26754,26416,26409,22601,26399,26397,66313,56440,67804,69150,12447,21781,211586,12575,18044,18045,15228,12914,17977,56371,19651,71978,19877,12530,66513,103573,15481,16211,19645,26419,12571,12567,12443,18753,18751,56469,17344,56550,216080,66105,21402,12234,12322,108058,12325,12323,12534,12442,11482								
Nifedipine	Homo sapiens		http://www.wikipathways.org/index.php/Pathway:WP259	20081210191135	26597	Robatwiki, MaintBot, AlexanderPico	4	5604,5594,2185								
Signal Transduction of S1P	Homo sapiens		http://www.wikipathways.org/index.php/Pathway:WP26	20081114112947	20731	S.Doniger, MaintBot, Thomas, MartijnVanIersel	25	8877,56848,427,51190,1901,9294,1903,53637,23236,5330,5331,5595,5594,5597,5596,5598,6300,2770,2771,2773,207,208,10000,5287,29127								
Glucose-1-phosphate metabolism	Saccharomyces cerevisiae		http://www.wikipathways.org/index.php/Pathway:WP260	20081114113107	21227	J.Heckman, MaintBot	9						S000001518,S000001004,S000001610,S000004711		7776-48-9,59-56-3,2466-09-3,2646-71-1,14265-44-2	
Glycine biosynthesis	Saccharomyces cerevisiae		http://www.wikipathways.org/index.php/Pathway:WP261	20081114113107	21229	J.Heckman, MaintBot	10						S000001864,S000000467,S000004048,S000000772		6912-68-1,56-40-6,56-45-1,31690-11-6,72-19-5,75-07-0	
EBV LMP1 signaling	Homo sapiens		http://www.wikipathways.org/index.php/Pathway:WP262	20090523120641	29609	Thomas, MartijnVanIersel, MaintBot	24	1147,3320	ENSG00000196923,ENSG00000102871,ENSG00000184216,ENSG00000056558,ENSG00000006062,ENSG00000077150,ENSG00000173039,ENSG00000135341,ENSG00000198909,ENSG00000175104,ENSG00000073009,ENSG00000213341,ENSG00000104365,ENSG00000100030,ENSG00000109320,ENSG00000107643,ENSG00000169429,ENSG00000171855,ENSG00000115009,ENSG00000204490,ENSG00000161570							
Ovarian Infertility Genes	Rattus norvegicus		http://www.wikipathways.org/index.php/Pathway:WP263	20081114113109	21233	I.BenShlomo, MaintBot, A.Hsueh	32	310914,24684,25449,25477,114639,362960,300711,497834,294252,59304,308909,503240,25655,24504,25631,25154,25149,24873,83826,54299,304157,24330,24253,81752,83571,64033,94201,25147,299151,81828		TF2D HUMAN						
Acetylcholine Synthesis	Caenorhabditis elegans		http://www.wikipathways.org/index.php/Pathway:WP264	20081114113109	21235	A.Kwa, MaintBot	6	3565996, ,181021,180703,181706,177124								
Delta-Notch Signaling Pathway	Mus musculus		http://www.wikipathways.org/index.php/Pathway:WP265	20081114113109	21237	A.Pandey, MaintBot	80	18128,18129,18131,18132,13388,54485,16449,16450,19164,19165,226548,208117,66340,59287,11487,11491,56637,18222,16396,11820,18223,,18709,11651,18550,12805,18133,14357,17172,328572,22059,16848,17305,140484,21402,50754,15213,270118,103806,20602,20185,433759,66935,60406,15182,20466,15205,20848,16452,19697,18035,15214,21885,17127,17128,22632,16842,17260,26965,27401,56438,21423,26417,26413,57750,18519,14199,19763,16656,17125,55927,22761,12804,12803,15208,16818,16476,19664,13645,13649								
Triglyceride Biosynthesis	Saccharomyces cerevisiae		http://www.wikipathways.org/index.php/Pathway:WP266	20081114113109	21239	M.Braymer, MaintBot	8						S000002210,S000005074,S000000821,S000005771		14265-44-2,64885-97-8,987-78-0,9029-97-4	
Proteasome Degradation	Danio rerio		http://www.wikipathways.org/index.php/Pathway:WP267	20081114113109	21241	Nsalomonis, MaintBot	34	394048,,406335,324015,336786,321585,394159,393518,550287,445285,393941,321947,326884,554153,445413,326687,30388,64278,30387,550499,30648,30647,30666,30649,415221,436709,403085,322265,321898,393922,406445,403011,436882,335985								
Notch Signaling Pathway	Homo sapiens		http://www.wikipathways.org/index.php/Pathway:WP268	20090609111738	29891	169.230.76.4, MaintBot, AlexanderPico, Thomas	46	3516,3762	ENSG00000124232,ENSG00000171611,ENSG00000196591,ENSG00000159692,ENSG00000175029,ENSG00000005339,ENSG00000108773,ENSG00000114166,ENSG00000198719,ENSG00000090932,ENSG00000128917,ENSG00000101384,ENSG00000184916,ENSG00000106003,ENSG00000100060,ENSG00000169733,ENSG00000134250,ENSG00000074181,ENSG00000204301,ENSG00000151694,ENSG00000117362,ENSG00000138613,ENSG00000204490,ENSG00000080815,ENSG00000143801,ENSG00000162736,ENSG00000107404,ENSG00000004975,ENSG00000161202,ENSG00000133961,ENSG00000105245,ENSG00000135144,ENSG00000091073,ENSG00000178498,ENSG00000110042,ENSG00000163840,ENSG00000161021,ENSG00000196498,ENSG00000114315,ENSG00000197921,ENSG00000148400,ENSG00000196782,ENSG00000116478,ENSG00000132376							
Heme Biosynthesis	Drosophila melanogaster		http://www.wikipathways.org/index.php/Pathway:WP269	20081114113110	21245	Kdahlquist, MaintBot	9	39402,46140,31817,35986,44701,42939,43757,37815, 								
Phenylalanine, Tyrosine, Tryptophan biosynthesis	Saccharomyces cerevisiae		http://www.wikipathways.org/index.php/Pathway:WP27	20081114112948	20733	J.Heckman, MaintBot	31						S000002442,S000000453,S000002534,S000003116,S000000892,S000001694,S000002762,S000002414,S000002994,S000006264,S000000370,S000001179,S000003170,S000005260		585-18-2,138-08-9,14265-44-2,2646-71-1,1927-31-7,58-64-0,55508-12-8,56-85-9,97-55-2,2466-09-3,56-45-1,591-57-1,73-22-3,126-49-8,60-18-4,56-86-0,63-91-2	
Tryptophan metabolism	Rattus norvegicus		http://www.wikipathways.org/index.php/Pathway:WP270	20081114113110	21247	L.M.Ferrante, MaintBot	87	66029,65210,246281,60421,25120,314856,25750,24311,25014,63864,140547,364975,360975,171385,56823,116682,64206,24848,314442,24248,29416,298298,65183,25429,54349,117060,65029,368066,24296,24297,24299,24894,24895,25011,25053,25086,25147,25426,25642,29277,29295,29298,54246,56266,113965,116676,24188,29539,29651,64040,361585,301515								
Cytokines and Inflammatory Response (BioCarta)	Rattus norvegicus		http://www.wikipathways.org/index.php/Pathway:WP271	20081114113110	21249	S.Burel, MaintBot	32	81503,24835,24494,24493,24498,IL1B,IL1A,TNF,59086,25266,IL6,IL11,64546,78965,116630,CSF3,IL12B,IL15,IL3,IL7,CSF2,IL4,IL10,IL13,IFNA,IFNG,IL2,TGFB1,IL5,IFNB1,CD4,GRO1								
Blood Clotting Cascade	Homo sapiens		http://www.wikipathways.org/index.php/Pathway:WP272	20090707204346	30179	A.Kwa, MaintBot, Khanspers, Thomas	22	2161,2160,2158,2159,7450,2153,2155,2147,2165,5345,5328,5327,5055,5054,5340,2244,2243,2266,2157,8263							9001-31-4	
Ovarian Infertility Genes	Mus musculus		http://www.wikipathways.org/index.php/Pathway:WP273	20081114113110	21253	I.BenShlomo, MaintBot, A.Hsueh	31	14566,14612,18667,13983,26423,21374,20185,13653,20597,22788,22787,26910,17350,12167,13075,19217,16867,14309,13164,22337,268903,16322,13404,17127,11920,12608,12567,12576,12444,17687,19116								
B Cell Receptor Signaling Pathway	Mus musculus		http://www.wikipathways.org/index.php/Pathway:WP274	20081114113111	21255	A.Pandey, MaintBot	151	15985,12143,14360,17096,20963,17060,26411,12507,14083,15170,15163,22376,66713,74117,11867,76709,56378,68089,67771,14784,20662,17973,22324,18803,12902,12478,12520,234779,,18709,83490,26413,13712,12229,12402,20416,16818,12927,18003,19229,15162,12929,16439,19247,12483,12371,12369,208650,24055,22325,18760,16428,21682,12928,107746,16822,56792,13448,19253,18720,18718,18719,108083,18717,117150,20111,26417,218397,18753,12912,56743,18607,11651,606496,76108,56458,16331,27261,26419,14130,14389,16476,11909,26416,12053,17164,19645,12567,12571,12387,56637,16150,12675,18035,19697,19696,18751,12517,381290,18019,18021,19055,19056,23921,14886,101476,83436,26377,72699,12988,108723,12042,26409,16151,12444,12445,12447,12428,15387,19264,19058,18018,18761,12572,12518,15184,56233,13063,110157,26395,26396,319520,67603,20848,20846,22637,12125,225724,77590,68119,12043,240168,18604,12028,14388,18754,16438,11848,30955,20663								
Arginine Biosynthesis	Saccharomyces cerevisiae		http://www.wikipathways.org/index.php/Pathway:WP275	20081114113112	21257	M.Braymer, MaintBot	18						S000003607,S000000871,S000005500,S000004666,S000003624,S000005419,S000001060		56-86-0,72-89-9,64885-97-8,1927-31-7,58-64-0,14265-44-2,2646-71-1,70-26-8,372-75-8,2466-09-3,74-79-3	
Monoamine GPCRs	Rattus norvegicus		http://www.wikipathways.org/index.php/Pathway:WP276	20081114113113	21259	Nsalomonis, MaintBot, J.S.Fong	35	24316,24318,29238,25432,29595,29581,25324,25689,79247,64354,65032,29412,24173,29413,25083,24174,24175,24176,25645,29307,25229,81645,24260,25111,53949,24925,25195,24448,25461,24473,25075,25323,60448,25187								
Matrix Metalloproteinases	Rattus norvegicus		http://www.wikipathways.org/index.php/Pathway:WP278	20081114113113	21265	Kdahlquist, MaintBot, M.Ramirez	29	63849,171052,25335,117033,81686,81687,116510,29543,25358,171045,117061,25481,94339,25246,24835,81707,65205,83513,366964,114849,432357,300341,304608,300340,303384,291848,288626,302963								
Triacylglyceride Synthesis	Drosophila melanogaster		http://www.wikipathways.org/index.php/Pathway:WP279	20081114113113	21267	Evelo, MaintBot	17	33824,38221,43350,53586,36669,32230,,39820,39819,35966,43913,37323,43563,37289,34463,39611								
Selenium metabolism/Selenoproteins	Homo sapiens		http://www.wikipathways.org/index.php/Pathway:WP28	20090629225141	30051	Susan, Thomas, 169.230.76.4, MaintBot, MartijnVanIersel, Egoyenechea, Khanspers, Evelo, Andra	52	6670,60678,54938,51540,2876,2877,2879,1733,6414,7296,6415,22928,1734,1735,2878,257202,280636,85465,58515,140606,57190,83642,51734,55829,51714,10587,114112,348303,54952,51091,8991,2168,6156,4790,5970	ENSG00000177606,ENSG00000170345	P49903,Q96T21,Q8IV42,O60613,P49591,P14859,Q03060		NP 036380,NP 612482,NP 001893,NM 006164				
Carbon monoxide dehydrogenase pathway	Saccharomyces cerevisiae		http://www.wikipathways.org/index.php/Pathway:WP280	20081114113113	21269	J.Heckman, MaintBot	12						S000000288,S000003436		2646-71-1,2800-34-2,1927-31-7,14265-44-2,58-64-0,31690-11-6,134-35-0,72-89-9,64885-97-8,590-54-5	
